Transition,Round_Index,Client,Class,Layer,IoU
round_1->round_2,1,client_0,0 - zero,conv1,1.000000
round_1->round_2,1,client_0,0 - zero,conv2,0.800000
round_1->round_2,1,client_0,0 - zero,conv3,0.400000
round_1->round_2,1,client_0,1 - one,conv1,0.375000
round_1->round_2,1,client_0,1 - one,conv2,0.428571
round_1->round_2,1,client_0,1 - one,conv3,0.555556
round_1->round_2,1,client_0,3 - three,conv1,1.000000
round_1->round_2,1,client_0,3 - three,conv2,1.000000
round_1->round_2,1,client_0,3 - three,conv3,0.117647
round_1->round_2,1,client_1,0 - zero,conv1,1.000000
round_1->round_2,1,client_1,0 - zero,conv2,0.800000
round_1->round_2,1,client_1,0 - zero,conv3,0.400000
round_1->round_2,1,client_1,1 - one,conv1,0.375000
round_1->round_2,1,client_1,1 - one,conv2,0.375000
round_1->round_2,1,client_1,1 - one,conv3,0.555556
round_1->round_2,1,client_1,3 - three,conv1,1.000000
round_1->round_2,1,client_1,3 - three,conv2,1.000000
round_1->round_2,1,client_1,3 - three,conv3,0.117647
round_1->round_2,1,client_2,0 - zero,conv1,1.000000
round_1->round_2,1,client_2,0 - zero,conv2,0.800000
round_1->round_2,1,client_2,0 - zero,conv3,0.363636
round_1->round_2,1,client_2,1 - one,conv1,0.375000
round_1->round_2,1,client_2,1 - one,conv2,0.428571
round_1->round_2,1,client_2,1 - one,conv3,0.555556
round_1->round_2,1,client_2,3 - three,conv1,1.000000
round_1->round_2,1,client_2,3 - three,conv2,1.000000
round_1->round_2,1,client_2,3 - three,conv3,0.117647
round_1->round_2,1,client_3,0 - zero,conv1,1.000000
round_1->round_2,1,client_3,0 - zero,conv2,0.800000
round_1->round_2,1,client_3,0 - zero,conv3,0.400000
round_1->round_2,1,client_3,1 - one,conv1,0.375000
round_1->round_2,1,client_3,1 - one,conv2,0.428571
round_1->round_2,1,client_3,1 - one,conv3,0.555556
round_1->round_2,1,client_3,3 - three,conv1,1.000000
round_1->round_2,1,client_3,3 - three,conv2,1.000000
round_1->round_2,1,client_3,3 - three,conv3,0.117647
round_1->round_2,1,client_4,0 - zero,conv1,1.000000
round_1->round_2,1,client_4,0 - zero,conv2,0.800000
round_1->round_2,1,client_4,0 - zero,conv3,0.363636
round_1->round_2,1,client_4,1 - one,conv1,0.375000
round_1->round_2,1,client_4,1 - one,conv2,0.428571
round_1->round_2,1,client_4,1 - one,conv3,0.555556
round_1->round_2,1,client_4,3 - three,conv1,1.000000
round_1->round_2,1,client_4,3 - three,conv2,1.000000
round_1->round_2,1,client_4,3 - three,conv3,0.117647
round_2->round_3,2,client_0,0 - zero,conv1,1.000000
round_2->round_3,2,client_0,0 - zero,conv2,0.600000
round_2->round_3,2,client_0,0 - zero,conv3,0.800000
round_2->round_3,2,client_0,1 - one,conv1,0.571429
round_2->round_3,2,client_0,1 - one,conv2,0.500000
round_2->round_3,2,client_0,1 - one,conv3,0.888889
round_2->round_3,2,client_0,3 - three,conv1,1.000000
round_2->round_3,2,client_0,3 - three,conv2,0.833333
round_2->round_3,2,client_0,3 - three,conv3,0.545455
round_2->round_3,2,client_1,0 - zero,conv1,1.000000
round_2->round_3,2,client_1,0 - zero,conv2,0.600000
round_2->round_3,2,client_1,0 - zero,conv3,0.800000
round_2->round_3,2,client_1,1 - one,conv1,0.571429
round_2->round_3,2,client_1,1 - one,conv2,0.428571
round_2->round_3,2,client_1,1 - one,conv3,0.888889
round_2->round_3,2,client_1,3 - three,conv1,1.000000
round_2->round_3,2,client_1,3 - three,conv2,0.833333
round_2->round_3,2,client_1,3 - three,conv3,0.571429
round_2->round_3,2,client_2,0 - zero,conv1,1.000000
round_2->round_3,2,client_2,0 - zero,conv2,0.600000
round_2->round_3,2,client_2,0 - zero,conv3,0.727273
round_2->round_3,2,client_2,1 - one,conv1,0.571429
round_2->round_3,2,client_2,1 - one,conv2,0.500000
round_2->round_3,2,client_2,1 - one,conv3,0.888889
round_2->round_3,2,client_2,3 - three,conv1,1.000000
round_2->round_3,2,client_2,3 - three,conv2,0.833333
round_2->round_3,2,client_2,3 - three,conv3,0.571429
round_2->round_3,2,client_3,0 - zero,conv1,1.000000
round_2->round_3,2,client_3,0 - zero,conv2,0.600000
round_2->round_3,2,client_3,0 - zero,conv3,0.800000
round_2->round_3,2,client_3,1 - one,conv1,0.571429
round_2->round_3,2,client_3,1 - one,conv2,0.500000
round_2->round_3,2,client_3,1 - one,conv3,0.888889
round_2->round_3,2,client_3,3 - three,conv1,1.000000
round_2->round_3,2,client_3,3 - three,conv2,0.833333
round_2->round_3,2,client_3,3 - three,conv3,0.600000
round_2->round_3,2,client_4,0 - zero,conv1,1.000000
round_2->round_3,2,client_4,0 - zero,conv2,0.600000
round_2->round_3,2,client_4,0 - zero,conv3,0.727273
round_2->round_3,2,client_4,1 - one,conv1,0.571429
round_2->round_3,2,client_4,1 - one,conv2,0.666667
round_2->round_3,2,client_4,1 - one,conv3,0.800000
round_2->round_3,2,client_4,3 - three,conv1,1.000000
round_2->round_3,2,client_4,3 - three,conv2,0.833333
round_2->round_3,2,client_4,3 - three,conv3,0.571429
round_3->round_4,3,client_0,0 - zero,conv1,1.000000
round_3->round_4,3,client_0,0 - zero,conv2,0.333333
round_3->round_4,3,client_0,0 - zero,conv3,0.562500
round_3->round_4,3,client_0,1 - one,conv1,1.000000
round_3->round_4,3,client_0,1 - one,conv2,0.750000
round_3->round_4,3,client_0,1 - one,conv3,0.777778
round_3->round_4,3,client_0,3 - three,conv1,1.000000
round_3->round_4,3,client_0,3 - three,conv2,0.833333
round_3->round_4,3,client_0,3 - three,conv3,0.888889
round_3->round_4,3,client_1,0 - zero,conv1,1.000000
round_3->round_4,3,client_1,0 - zero,conv2,0.250000
round_3->round_4,3,client_1,0 - zero,conv3,0.529412
round_3->round_4,3,client_1,1 - one,conv1,1.000000
round_3->round_4,3,client_1,1 - one,conv2,0.750000
round_3->round_4,3,client_1,1 - one,conv3,0.700000
round_3->round_4,3,client_1,3 - three,conv1,1.000000
round_3->round_4,3,client_1,3 - three,conv2,0.833333
round_3->round_4,3,client_1,3 - three,conv3,0.888889
round_3->round_4,3,client_2,0 - zero,conv1,1.000000
round_3->round_4,3,client_2,0 - zero,conv2,0.333333
round_3->round_4,3,client_2,0 - zero,conv3,0.750000
round_3->round_4,3,client_2,1 - one,conv1,1.000000
round_3->round_4,3,client_2,1 - one,conv2,0.750000
round_3->round_4,3,client_2,1 - one,conv3,0.700000
round_3->round_4,3,client_2,3 - three,conv1,1.000000
round_3->round_4,3,client_2,3 - three,conv2,0.833333
round_3->round_4,3,client_2,3 - three,conv3,0.888889
round_3->round_4,3,client_3,0 - zero,conv1,1.000000
round_3->round_4,3,client_3,0 - zero,conv2,0.666667
round_3->round_4,3,client_3,0 - zero,conv3,1.000000
round_3->round_4,3,client_3,1 - one,conv1,1.000000
round_3->round_4,3,client_3,1 - one,conv2,0.750000
round_3->round_4,3,client_3,1 - one,conv3,0.700000
round_3->round_4,3,client_3,3 - three,conv1,1.000000
round_3->round_4,3,client_3,3 - three,conv2,0.833333
round_3->round_4,3,client_3,3 - three,conv3,0.777778
round_3->round_4,3,client_4,0 - zero,conv1,1.000000
round_3->round_4,3,client_4,0 - zero,conv2,0.666667
round_3->round_4,3,client_4,0 - zero,conv3,1.000000
round_3->round_4,3,client_4,1 - one,conv1,1.000000
round_3->round_4,3,client_4,1 - one,conv2,0.600000
