Round,Round_Index,Class,Layer,Mean_IoU,Std_Dev_IoU,Min_IoU,Exact_Matches_Count,Total_Pairs
round_1,1,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
round_1,1,0 - zero,conv2,1.000000,0.000000,1.000000,10,10
round_1,1,0 - zero,conv3,1.000000,0.000000,1.000000,10,10
round_1,1,1 - one,conv1,1.000000,0.000000,1.000000,10,10
round_1,1,1 - one,conv2,1.000000,0.000000,1.000000,10,10
round_1,1,1 - one,conv3,1.000000,0.000000,1.000000,10,10
round_1,1,3 - three,conv1,1.000000,0.000000,1.000000,10,10
round_1,1,3 - three,conv2,1.000000,0.000000,1.000000,10,10
round_1,1,3 - three,conv3,1.000000,0.000000,1.000000,10,10
round_2,2,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
round_2,2,0 - zero,conv2,1.000000,0.000000,1.000000,10,10
round_2,2,0 - zero,conv3,0.940000,0.048990,0.900000,4,10
round_2,2,1 - one,conv1,1.000000,0.000000,1.000000,10,10
round_2,2,1 - one,conv2,0.942857,0.069985,0.857143,6,10
round_2,2,1 - one,conv3,1.000000,0.000000,1.000000,10,10
round_2,2,3 - three,conv1,1.000000,0.000000,1.000000,10,10
round_2,2,3 - three,conv2,1.000000,0.000000,1.000000,10,10
round_2,2,3 - three,conv3,1.000000,0.000000,1.000000,10,10
round_3,3,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
round_3,3,0 - zero,conv2,0.800000,0.244949,0.500000,6,10
round_3,3,0 - zero,conv3,1.000000,0.000000,1.000000,10,10
round_3,3,1 - one,conv1,1.000000,0.000000,1.000000,10,10
round_3,3,1 - one,conv2,0.900000,0.122474,0.750000,6,10
round_3,3,1 - one,conv3,0.955556,0.054433,0.888889,6,10
round_3,3,3 - three,conv1,1.000000,0.000000,1.000000,10,10
round_3,3,3 - three,conv2,1.000000,0.000000,1.000000,10,10
round_3,3,3 - three,conv3,0.928309,0.034965,0.882353,1,10
round_4,4,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
round_4,4,0 - zero,conv2,0.566667,0.226078,0.333333,2,10
round_4,4,0 - zero,conv3,0.708088,0.158449,0.529412,1,10
round_4,4,1 - one,conv1,1.000000,0.000000,1.000000,10,10
round_4,4,1 - one,conv2,1.000000,0.000000,1.000000,10,10
round_4,4,1 - one,conv3,0.955556,0.054433,0.888889,6,10
round_4,4,3 - three,conv1,1.000000,0.000000,1.000000,10,10
round_4,4,3 - three,conv2,1.000000,0.000000,1.000000,10,10
round_4,4,3 - three,conv3,0.966667,0.027217,0.944444,4,10
round_5,5,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
round_5,5,0 - zero,conv2,0.666667,0.258199,0.333333,3,10
round_5,5,0 - zero,conv3,0.695862,0.165730,0.500000,1,10
round_5,5,1 - one,conv1,1.000000,0.000000,1.000000,10,10
round_5,5,1 - one,conv2,1.000000,0.000000,1.000000,10,10
round_5,5,1 - one,conv3,0.940000,0.048990,0.900000,4,10
round_5,5,3 - three,conv1,1.000000,0.000000,1.000000,10,10
round_5,5,3 - three,conv2,1.000000,0.000000,1.000000,10,10
round_5,5,3 - three,conv3,0.903824,0.051409,0.823529,1,10
round_6,6,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
round_6,6,0 - zero,conv2,0.800000,0.163299,0.666667,4,10
round_6,6,0 - zero,conv3,0.790000,0.142244,0.666667,3,10
round_6,6,1 - one,conv1,1.000000,0.000000,1.000000,10,10
round_6,6,1 - one,conv2,1.000000,0.000000,1.000000,10,10
round_6,6,1 - one,conv3,0.960000,0.048990,0.900000,6,10
round_6,6,3 - three,conv1,1.000000,0.000000,1.000000,10,10
round_6,6,3 - three,conv2,1.000000,0.000000,1.000000,10,10
round_6,6,3 - three,conv3,0.845833,0.106458,0.687500,1,10
round_7,7,0 - zero,conv1,1.000000,0.000000,1.000000,10,10
