Round,Round_Index,Client,Class,Layer,IoU_Local_vs_Global
round_1,1,client_0,0 - zero,conv1,1.000000
round_1,1,client_0,0 - zero,conv2,1.000000
round_1,1,client_0,0 - zero,conv3,0.428571
round_1,1,client_0,1 - one,conv1,0.200000
round_1,1,client_0,1 - one,conv2,0.142857
round_1,1,client_0,1 - one,conv3,0.333333
round_1,1,client_0,3 - three,conv1,1.000000
round_1,1,client_0,3 - three,conv2,0.800000
round_1,1,client_0,3 - three,conv3,0.285714
round_1,1,client_1,0 - zero,conv1,1.000000
round_1,1,client_1,0 - zero,conv2,0.200000
round_1,1,client_1,0 - zero,conv3,0.000000
round_1,1,client_1,1 - one,conv1,0.571429
round_1,1,client_1,1 - one,conv2,0.500000
round_1,1,client_1,1 - one,conv3,0.833333
round_1,1,client_1,3 - three,conv1,1.000000
round_1,1,client_1,3 - three,conv2,0.800000
round_1,1,client_1,3 - three,conv3,0.500000
round_1,1,client_2,0 - zero,conv1,1.000000
round_1,1,client_2,0 - zero,conv2,0.600000
round_1,1,client_2,0 - zero,conv3,0.375000
round_1,1,client_2,1 - one,conv1,0.250000
round_1,1,client_2,1 - one,conv2,0.142857
round_1,1,client_2,1 - one,conv3,0.333333
round_1,1,client_2,3 - three,conv1,1.000000
round_1,1,client_2,3 - three,conv2,0.800000
round_1,1,client_2,3 - three,conv3,0.400000
round_1,1,client_3,0 - zero,conv1,1.000000
round_1,1,client_3,0 - zero,conv2,1.000000
round_1,1,client_3,0 - zero,conv3,0.375000
round_1,1,client_3,1 - one,conv1,0.571429
round_1,1,client_3,1 - one,conv2,0.307692
round_1,1,client_3,1 - one,conv3,0.625000
round_1,1,client_3,3 - three,conv1,1.000000
round_1,1,client_3,3 - three,conv2,0.800000
round_1,1,client_3,3 - three,conv3,0.125000
round_1,1,client_4,0 - zero,conv1,1.000000
round_1,1,client_4,0 - zero,conv2,0.500000
round_1,1,client_4,0 - zero,conv3,0.285714
round_1,1,client_4,1 - one,conv1,0.500000
round_1,1,client_4,1 - one,conv2,0.363636
round_1,1,client_4,1 - one,conv3,0.500000
round_1,1,client_4,3 - three,conv1,1.000000
round_1,1,client_4,3 - three,conv2,0.600000
round_1,1,client_4,3 - three,conv3,0.166667
round_2,2,client_0,0 - zero,conv1,1.000000
round_2,2,client_0,0 - zero,conv2,1.000000
round_2,2,client_0,0 - zero,conv3,0.818182
round_2,2,client_0,1 - one,conv1,1.000000
round_2,2,client_0,1 - one,conv2,0.571429
round_2,2,client_0,1 - one,conv3,0.800000
round_2,2,client_0,3 - three,conv1,1.000000
round_2,2,client_0,3 - three,conv2,1.000000
round_2,2,client_0,3 - three,conv3,0.789474
round_2,2,client_1,0 - zero,conv1,1.000000
round_2,2,client_1,0 - zero,conv2,0.800000
round_2,2,client_1,0 - zero,conv3,0.888889
round_2,2,client_1,1 - one,conv1,1.000000
round_2,2,client_1,1 - one,conv2,0.875000
round_2,2,client_1,1 - one,conv3,0.800000
round_2,2,client_1,3 - three,conv1,1.000000
round_2,2,client_1,3 - three,conv2,1.000000
round_2,2,client_1,3 - three,conv3,0.777778
round_2,2,client_2,0 - zero,conv1,1.000000
round_2,2,client_2,0 - zero,conv2,1.000000
round_2,2,client_2,0 - zero,conv3,0.900000
round_2,2,client_2,1 - one,conv1,0.857143
round_2,2,client_2,1 - one,conv2,0.714286
round_2,2,client_2,1 - one,conv3,1.000000
round_2,2,client_2,3 - three,conv1,1.000000
round_2,2,client_2,3 - three,conv2,0.833333
round_2,2,client_2,3 - three,conv3,0.736842
round_2,2,client_3,0 - zero,conv1,1.000000
round_2,2,client_3,0 - zero,conv2,1.000000
round_2,2,client_3,0 - zero,conv3,0.818182
round_2,2,client_3,1 - one,conv1,1.000000
round_2,2,client_3,1 - one,conv2,1.000000
round_2,2,client_3,1 - one,conv3,0.888889
round_2,2,client_3,3 - three,conv1,1.000000
round_2,2,client_3,3 - three,conv2,1.000000
round_2,2,client_3,3 - three,conv3,0.789474
